id,title,genres,averageRating,numVotes,releaseYear
tt0403778,Long Way Round,"Adventure, Documentary",8.6,15521,2004
tt17513352,Twenty Five Twenty One,"Drama, Romance",8.6,15352,2022
tt15614372,Tear Along the Dotted Line,"Animation, Comedy, Drama",8.6,15124,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14445,2018
tt0120570,From the Earth to the Moon,"Action, Drama, History",8.6,13469,1998
tt1877368,The Great British Baking Show,"Game-Show, Reality-TV",8.6,13262,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13257,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12372,2021
tt5320412,Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy",8.6,12279,2016
tt0118273,Brass Eye,Comedy,8.6,11744,1997
tt13400006,Mr. Queen,"Comedy, Fantasy, Romance",8.6,11690,2020
tt9103932,Greatest Events of WWII in Colour,"Documentary, History, War",8.6,11337,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10465,2019
tt31862849,Very Parivarik,Comedy,8.6,10192,2024
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10186,2015
tt0426719,Hunter x Hunter,"Action, Adventure, Animation",8.6,10157,1999
tt9304350,Fruits Basket,"Animation, Comedy, Drama",8.6,10069,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,599994,2013
tt10048342,The Queen's Gambit,Drama,8.5,582241,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540918,2016
tt1442437,Modern Family,"Comedy, Drama, Romance",8.5,499252,2009
tt4158110,Mr. Robot,"Crime, Drama, Thriller",8.5,428503,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357190,2017
tt6763664,The Haunting of Hill House,"Drama, Horror, Mystery",8.5,299033,2018
tt1439629,Community,Comedy,8.5,298707,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298313,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283167,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266147,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261102,2010
tt0436992,Doctor Who,"Adventure, Drama, Sci-Fi",8.5,252187,2005
tt1839578,Person of Interest,"Action, Crime, Drama",8.5,193105,2011
tt3230854,The Expanse,"Drama, Mystery, Sci-Fi",8.5,177032,2015
tt4179452,The Last Kingdom,"Action, Drama, History",8.5,171902,2015
tt2575988,Silicon Valley,Comedy,8.5,169587,2014
tt0487831,The IT Crowd,Comedy,8.5,167142,2006
tt3526078,Schitt's Creek,Comedy,8.5,151881,2015
tt1758429,Spartacus: Gods of the Arena,"Action, Adventure, Biography",8.5,147659,2011
tt12343534,Jujutsu Kaisen,"Action, Adventure, Animation",8.5,133195,2020
tt0290978,The Office,"Comedy, Drama",8.5,125345,2001
tt5189670,Making a Murderer,"Crime, Documentary",8.5,104224,2015
tt6077448,Sacred Games,"Action, Crime, Drama",8.5,94154,2018
tt0112159,Neon Genesis Evangelion,"Action, Animation, Drama",8.5,90466,1995
tt3502248,Bosch,"Crime, Drama",8.5,85841,2014
tt1492966,Louie,"Comedy, Drama",8.5,82885,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82325,2022
tt0314979,Battlestar Galactica,"Action, Adventure, Drama",8.5,81464,2003
tt0421357,Fullmetal Alchemist,"Action, Adventure, Animation",8.5,79486,2003
tt4093826,Twin Peaks,"Crime, Drama, Horror",8.5,78189,2017
tt0088509,Dragon Ball,"Action, Adventure, Animation",8.5,68619,1986
tt11912196,Asur: Welcome to Your Dark Side,"Crime, Drama, Mystery",8.5,67062,2020
tt0863046,Flight of the Conchords,"Comedy, Music, Musical",8.5,66903,2007
tt0280249,Dragon Ball,"Action, Adventure, Animation",8.5,66643,1995
tt3428912,Happy Valley,"Crime, Drama, Thriller",8.5,66642,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65201,1972
tt7120662,Derry Girls,Comedy,8.5,64216,2018
tt1710308,Regular Show,"Action, Adventure, Animation",8.5,61645,2010
tt0278238,Samurai Jack,"Action, Adventure, Animation",8.5,61192,2001
tt0187664,Spaced,Comedy,8.5,58413,1999
tt0423731,Samurai Champloo,"Action, Adventure, Animation",8.5,57133,2004
tt2937900,The Knick,"Drama, History",8.5,53346,2014
tt0275137,Justice League,"Action, Adventure, Animation",8.5,52960,2001
tt8289930,Formula 1: Drive to Survive,"Documentary, Sport",8.5,52750,2019
tt0290988,Trailer Park Boys,"Comedy, Crime",8.5,52223,2001
tt0402711,Boston Legal,"Comedy, Crime, Drama",8.5,50822,2004
tt0237123,Coupling,"Comedy, Romance",8.5,48219,2000
tt0163507,Whose Line Is It Anyway?,"Comedy, Game-Show",8.5,47003,1998
